customerID,gender,tenure,Contract,MonthlyCharges,Churn
7590-VHVEG,Female,1,Month-to-month,29.85,No
5575-GNVDE,Male,34,One year,56.95,No
3668-QPYBK,Male,2,Month-to-month,53.85,Yes
7795-CFOCW,Male,45,One year,42.3,No
9237-HQITU,Female,2,Month-to-month,70.7,Yes
9305-CDSKC,Female,8,Month-to-month,99.65,Yes
1452-KIOVK,Male,22,Month-to-month,89.1,No
6713-OKOMC,Female,10,Month-to-month,29.75,No
7892-POOKP,Female,28,Month-to-month,104.8,Yes
6388-TABGU,Male,62,One year,56.15,No
9763-GRSKD,Male,13,Month-to-month,49.95,No
7469-LKBCI,Male,16,Two year,18.95,No
8091-TTVAX,Male,58,One year,100.35,No
0280-XJGEX,Male,49,Month-to-month,103.7,Yes
5129-JLPIS,Male,25,Month-to-month,105.5,No
3655-SNQYZ,Female,69,Two year,113.25,No
8191-XWSZG,Female,52,One year,20.65,No
9959-WOFKT,Male,71,Two year,106.7,No
4190-MFLUW,Female,10,Month-to-month,55.2,Yes
4183-MYFRB,Female,21,Month-to-month,90.05,No
8779-QRDMV,Male,1,Month-to-month,39.65,Yes
1680-VDCWW,Male,12,One year,19.8,No
1066-JKSGK,Male,1,Month-to-month,20.15,Yes
3638-WEABW,Female,58,Two year,59.9,No
6322-HRPFA,Male,49,Month-to-month,59.6,No
6865-JZNKO,Female,30,Month-to-month,55.3,No
6467-CHFZW,Male,47,Month-to-month,99.35,Yes
8665-UTDHZ,Male,1,Month-to-month,30.2,Yes
5248-YGIJN,Male,72,Two year,90.25,No
8773-HHUOZ,Female,17,Month-to-month,64.7,Yes
3841-NFECX,Female,71,Two year,96.35,No
4929-XIHVW,Male,2,Month-to-month,95.5,No
6827-IEAUQ,Female,27,One year,66.15,No
7310-EGVHZ,Male,1,Month-to-month,20.2,No
3413-BMNZE,Male,1,Month-to-month,45.25,No
6234-RAAPL,Female,72,Two year,99.9,No
6047-YHPVI,Male,5,Month-to-month,69.7,Yes
6572-ADKRS,Female,46,Month-to-month,74.8,No
5380-WJKOV,Male,34,Month-to-month,106.35,Yes
8168-UQWWF,Female,11,Month-to-month,97.85,Yes
8865-TNMNX,Male,10,One year,49.55,No
9489-DEDVP,Female,70,Two year,69.2,No
9867-JCZSP,Female,17,One year,20.75,No
4671-VJLCL,Female,63,Two year,79.85,No
4080-IIARD,Female,13,Month-to-month,76.2,No
3714-NTNFO,Female,49,Month-to-month,84.5,No
5948-UJZLF,Male,2,Month-to-month,49.25,No
7760-OYPDY,Female,2,Month-to-month,80.65,Yes
7639-LIAYI,Male,52,Two year,79.75,No
2954-PIBKO,Female,69,Two year,64.15,No
8012-SOUDQ,Female,43,Month-to-month,90.25,No
9420-LOJKX,Female,15,Month-to-month,99.1,Yes
6575-SUVOI,Female,25,Month-to-month,69.5,No
7495-OOKFY,Female,8,Month-to-month,80.65,Yes
4667-QONEA,Female,60,One year,74.85,No
1658-BYGOY,Male,18,Month-to-month,95.45,Yes
8769-KKTPH,Female,63,One year,99.65,No
5067-XJQFU,Male,66,One year,108.45,No
3957-SQXML,Female,34,Two year,24.95,No
5954-BDFSG,Female,72,Two year,107.5,No
0434-CSFON,Female,47,Month-to-month,100.5,No
1215-FIGMP,Male,60,Month-to-month,89.9,No
0526-SXDJP,Male,72,Two year,42.1,No
0557-ASKVU,Female,18,One year,54.4,No
5698-BQJOH,Female,9,Month-to-month,94.4,Yes
5122-CYFXA,Female,3,Month-to-month,75.3,No
8627-ZYGSZ,Male,47,One year,78.9,No
3410-YOQBQ,Female,31,Two year,79.2,No
3170-NMYVV,Female,50,Two year,20.15,No
7410-OIEDU,Male,10,Month-to-month,79.85,No
2273-QCKXA,Male,1,Month-to-month,49.05,No
0731-EBJQB,Female,52,One year,20.4,No
1891-QRQSA,Male,64,Two year,111.6,No
8028-PNXHQ,Male,62,Two year,24.25,No
5630-AHZIL,Female,3,Month-to-month,64.5,No
2673-CXQEU,Female,56,One year,110.5,No
6416-JNVRK,Female,46,One year,55.65,No
5590-ZSKRV,Female,8,Month-to-month,54.65,No
0191-ZHSKZ,Male,30,Month-to-month,74.75,No
3887-PBQAO,Female,45,One year,25.9,No
5919-TMRGD,Female,1,Month-to-month,79.35,Yes
8108-UXRQN,Female,11,Month-to-month,50.55,No
9191-MYQKX,Female,7,Month-to-month,75.15,Yes
9919-YLNNG,Female,42,Month-to-month,103.8,No
0318-ZOPWS,Female,49,Two year,20.15,No
4445-ZJNMU,Male,9,Month-to-month,99.3,No
4808-YNLEU,Female,35,One year,62.15,No
1862-QRWPE,Female,48,Two year,20.65,No
2796-NNUFI,Female,46,Two year,19.95,No
3016-KSVCP,Male,29,Month-to-month,33.75,No
4767-HZZHQ,Male,30,Month-to-month,82.05,No
2424-WVHPL,Male,1,Month-to-month,74.7,No
7233-PAHHL,Male,66,Two year,84,No
6067-NGCEU,Female,65,Month-to-month,111.05,No
9848-JQJTX,Male,72,Two year,100.9,No
8637-XJIVR,Female,12,Month-to-month,78.95,Yes
9803-FTJCG,Male,71,One year,66.85,No
0278-YXOOG,Male,5,Month-to-month,21.05,Yes
3212-KXOCR,Male,52,Two year,21,No
4598-XLKNJ,Female,25,Month-to-month,98.5,Yes
6380-ARCEH,Male,1,Month-to-month,20.2,No
3679-XASPY,Female,1,Month-to-month,19.45,No
7123-WQUHX,Male,38,One year,95,No
5386-THSLQ,Female,66,One year,45.55,No
3192-NQECA,Male,68,Two year,110,Yes
